Rank,Wallet,Owner,Balance,XRP Locked,Percentage,Total Balance
80,rQUUAjDPTLWTEHrpNtQvryUdvd1afc6TcB,,137303263,,0.14,137303263
81,rhDTe4SW6Tg4g3uWy66xJUuitsNYaRGgHZ,,127942119,,0.13,127942119
82,rEbXa31msPbPDZgmLMKH7CaKaf7VipoLBo,,126392005,,0.13,126392005
83,rLUrobvcPHmbRVgzgGA6Vsp7Eu7yBQpEQe,,125981946,,0.13,125981946
84,rsYFhEk4uFvwvvKJomHL7KhdF29r2sw9KD,Korbit (7),122521471,,0.12,122521471
85,r94JFtstbXmyG21h3RHKcNfkAHxAQ6HSGC,BTC Markets (1),118193347,,0.12,118193347
86,rMdvagR3K78g6hDZ8Wc65BKXjfMgMGtr2q,,111689114,,0.11,111689114
87,rPJ5GFpyDLv7gqeB1uZVUBwDwi41kaXN5A,Binance (12),109391996,,0.11,109391996
88,rH1dEntS4VgPBfzQTXZqTuWCAcq6g3xqLm,,107853345,,0.11,107853345
89,rNYqPrNofcA6GZaK51i4TC7vgpjvJAECqx,,106671074,,0.11,106671074
90,r9k6tXjR8ncGK4EMhyyLexYuENQXwT1rp1,,105456551,,0.1,105456551
91,rGctqA9RLkaCKWDpZvF7hGDTd44d7dKvDN,,101259358,,0.1,101259358
92,rHJgQ4Cbg7vACGVuGusaKfmr2nheCRefBS,,100000959,,0.1,100000959
93,rpULfqDP9mwijiueRA82fdmgW8dTbq73PT,,100000001,,0.1,100000001
94,rEbKBkgKSQgm5x8PycZc5VjdCVTmqYfcY1,ahbritto (11),99999999,,0.1,99999999
95,r4cS6q2PVQcchTLTkF3jYehondv9sJ6QdW,,93135133,,0.09,93135133
96,rhWt2bhRq3wiK9sQnYVmhhKb5Dr2SE32hk,,90906672,,0.09,90906672
97,rKV8HEL3vLc6q9waTiJcewdRdSFyx67QFb,Crypto.com Exchange (1),90390962,50,0.09,90391012
98,rDzNXRMRFucuyHqTiU8P64Ax2YUWraryqH,,90000143,,0.09,90000143
99,r4DbbWjsZQ2hCcxmjncr7MRjpXTBPckGa9,Bitrue Cold (2),88196139,,0.09,88196139
100,rMtoKCb4ZtS1UU5kD6B6KAKB85vH7JsAKo,,86075877,,0.09,86075877
101,r3AEihLNr81VYUf5PdfH5wLPqtJJyJs6yY,,79860567,,0.08,79860567
102,rfFXKaCevRhNspPZK7xxHjqopr7Z9vX9sK,,79852722,,0.08,79852722
103,rMJXDzU1N9ZSDzPF7s1i2GGKyjM2wB3iom,,74099108,,0.07,74099108
104,r9C3MfuUnfTNWrXaWSuyRamGrzN6hN4dac,,74064227,,0.07,74064227
105,rXzRVoohqvahY4zyUrfmznpVgkLJsDCtd,,73379150,,0.07,73379150
106,rJHkpNJVRUKMGV3NV6FNccySKNwEFF9C4c,,71677029,,0.07,71677029
107,rW1gMG9wKxEtcxtEYihSwVLqpvQ37Y6Sv,,69224979,,0.07,69224979
108,rKZxyrN6QG8zHigceKinzgrq9jVMHv6uGf,,67674632,,0.07,67674632
109,rrsSUzrT2mYAMiL46pm7cwn6MmMmxVkEWM,Bithumb (11),66871273,,0.07,66871273
110,rUYkx2mGm1m4wH75cgedu79vshbfDFUWj8,,62659437,,0.06,62659437
111,rM6iFmRjaDtBSNX5Sp3sY5rmVs25q94aYy,,61754122,,0.06,61754122
112,rJdEBYJ1jcfvs1bcJybyTRmsE7YdYJFsYW,,58261030,,0.06,58261030
113,rwBHqnCgNRnk3Kyoc6zon6Wt4Wujj3HNGe,Bybit (5),57941995,,0.06,57941995
114,rfwXrbGfk7muA1SbG965GyWL2bxnwcAB5E,,57770557,,0.06,57770557
115,raJHqa1o57DwjtrLCZjdkMKRtfHnbrwSse,Firi (4),57435976,,0.06,57435976
116,rf7ZLJtM8q9eB3mvurh8qTMGz8F59b2gMU,,57419369,,0.06,57419369
117,rM9e4hDCEu4hY8SESypL9ymM2sMauDCncf,Paribu (3),54203491,,0.05,54203491
118,r939h32f29EsRMj8LjCJ32Dw1z3sLUQXUm,,53730133,,0.05,53730133
119,rGmQ54vQCdtFdkuHtRJxZa1t6NybYM7hw7,,53730122,,0.05,53730122
120,rUWqYAJ4Tfvr1yBQkfDFGN6mpNwrNBZpCk,,53730122,,0.05,53730122
121,rGcunrDHjNEzyJ1ZBxF2zGMV1X3M5UqVgM,,53730112,,0.05,53730112
122,r3KczxSzs7nwDsd1qioSgxErNPJc8yPPu1,,52484468,,0.05,52484468
123,rGdKQGwo9DM43DSfDgkjx7ihdCHkJEnp1k,,52000021,,0.05,52000021
124,r9QJXDdDM1fYmqeyAWdkqLofgsoggNmM74,,50000090,,0.05,50000090
125,rHcFoo6a9qT5NHiVn1THQRhsEGcxtYCV4d,Gate.io (1),49552672,50000,0.05,49602672
126,rfyE1wqH1YY3u6BcauQwYuoD13GVtJErXq,SwissBorg (3),49293801,1000,0.05,49294801
