Rank,Wallet,Owner,Balance,XRP Locked,Percentage
86,rMdvagR3K78g6hDZ8Wc65BKXjfMgMGtr2q,,"111,689,114 XRP",,"0.112
%"
87,rPJ5GFpyDLv7gqeB1uZVUBwDwi41kaXN5A,Binance (12),"109,391,996 XRP",,"0.109
%"
88,rH1dEntS4VgPBfzQTXZqTuWCAcq6g3xqLm,,"107,853,345 XRP",,"0.108
%"
89,rNYqPrNofcA6GZaK51i4TC7vgpjvJAECqx,,"106,671,074 XRP",,"0.107
%"
90,r9k6tXjR8ncGK4EMhyyLexYuENQXwT1rp1,,"105,456,551 XRP",,"0.105
%"
91,rGctqA9RLkaCKWDpZvF7hGDTd44d7dKvDN,,"101,259,358 XRP",,"0.101
%"
92,rHJgQ4Cbg7vACGVuGusaKfmr2nheCRefBS,,"100,000,959 XRP",,"0.100
%"
93,rpULfqDP9mwijiueRA82fdmgW8dTbq73PT,,"100,000,001 XRP",,"0.100
%"
94,rEbKBkgKSQgm5x8PycZc5VjdCVTmqYfcY1,ahbritto (11),"99,999,999 XRP",,"0.100
%"
95,r4cS6q2PVQcchTLTkF3jYehondv9sJ6QdW,,"93,135,133 XRP",,"0.093
%"
96,rhWt2bhRq3wiK9sQnYVmhhKb5Dr2SE32hk,,"90,906,672 XRP",,"0.091
%"
97,rKV8HEL3vLc6q9waTiJcewdRdSFyx67QFb,Crypto.com Exchange (1),"90,390,962 XRP",50 XRP,"0.090
%"
98,rDzNXRMRFucuyHqTiU8P64Ax2YUWraryqH,,"90,000,143 XRP",,"0.090
%"
99,r4DbbWjsZQ2hCcxmjncr7MRjpXTBPckGa9,Bitrue Cold (2),"88,196,139 XRP",,"0.088
%"
100,rMtoKCb4ZtS1UU5kD6B6KAKB85vH7JsAKo,,"86,075,877 XRP",,"0.086
%"
101,r3AEihLNr81VYUf5PdfH5wLPqtJJyJs6yY,,"79,860,567 XRP",,"0.080
%"
102,rfFXKaCevRhNspPZK7xxHjqopr7Z9vX9sK,,"79,852,722 XRP",,"0.080
%"
103,rMJXDzU1N9ZSDzPF7s1i2GGKyjM2wB3iom,,"74,099,108 XRP",,"0.074
%"
104,r9C3MfuUnfTNWrXaWSuyRamGrzN6hN4dac,,"74,064,227 XRP",,"0.074
%"
105,rXzRVoohqvahY4zyUrfmznpVgkLJsDCtd,,"73,379,150 XRP",,"0.073
%"
106,rJHkpNJVRUKMGV3NV6FNccySKNwEFF9C4c,,"71,677,029 XRP",,"0.072
%"
107,rW1gMG9wKxEtcxtEYihSwVLqpvQ37Y6Sv,,"69,224,979 XRP",,"0.069
%"
108,rKZxyrN6QG8zHigceKinzgrq9jVMHv6uGf,,"67,674,632 XRP",,"0.068
%"
109,rrsSUzrT2mYAMiL46pm7cwn6MmMmxVkEWM,Bithumb (11),"66,871,273 XRP",,"0.067
%"
110,rUYkx2mGm1m4wH75cgedu79vshbfDFUWj8,,"62,659,437 XRP",,"0.063
%"
111,rM6iFmRjaDtBSNX5Sp3sY5rmVs25q94aYy,,"61,754,122 XRP",,"0.062
%"
112,rJdEBYJ1jcfvs1bcJybyTRmsE7YdYJFsYW,,"58,261,030 XRP",,"0.058
%"
113,rwBHqnCgNRnk3Kyoc6zon6Wt4Wujj3HNGe,Bybit (5),"57,941,995 XRP",,"0.058
%"
114,rfwXrbGfk7muA1SbG965GyWL2bxnwcAB5E,,"57,770,557 XRP",,"0.058
%"
115,raJHqa1o57DwjtrLCZjdkMKRtfHnbrwSse,Firi (4),"57,435,976 XRP",,"0.057
%"
116,rf7ZLJtM8q9eB3mvurh8qTMGz8F59b2gMU,,"57,419,369 XRP",,"0.057
%"
117,rM9e4hDCEu4hY8SESypL9ymM2sMauDCncf,Paribu (3),"54,203,491 XRP",,"0.054
%"
118,r939h32f29EsRMj8LjCJ32Dw1z3sLUQXUm,,"53,730,133 XRP",,"0.054
%"
119,rGmQ54vQCdtFdkuHtRJxZa1t6NybYM7hw7,,"53,730,122 XRP",,"0.054
%"
120,rUWqYAJ4Tfvr1yBQkfDFGN6mpNwrNBZpCk,,"53,730,122 XRP",,"0.054
%"
121,rGcunrDHjNEzyJ1ZBxF2zGMV1X3M5UqVgM,,"53,730,112 XRP",,"0.054
%"
122,r3KczxSzs7nwDsd1qioSgxErNPJc8yPPu1,,"52,484,468 XRP",,"0.052
%"
123,rGdKQGwo9DM43DSfDgkjx7ihdCHkJEnp1k,,"52,000,021 XRP",,"0.052
%"
124,r9QJXDdDM1fYmqeyAWdkqLofgsoggNmM74,,"50,000,090 XRP",,"0.050
%"
125,rHcFoo6a9qT5NHiVn1THQRhsEGcxtYCV4d,Gate.io (1),"49,552,672 XRP","50,000 XRP","0.050
%"
126,rfyE1wqH1YY3u6BcauQwYuoD13GVtJErXq,SwissBorg (3),"49,293,801 XRP","1,000 XRP","0.049
%"
127,rE3hWEGquaixF2XwirNbA1ds4m55LxNZPk,Bitfinex (2),"48,438,784 XRP",,"0.048
%"
128,r3BFHL2EXZN4darZ7vH7BT7tP9tN7tyd6W,,"46,974,481 XRP",,"0.047
%"
129,rLHzPsX6oXkzU2qL12kHCH8G8cnZv1rBJh,Kraken (1),"46,414,503 XRP",,"0.046
%"
130,rsSxRNdYoajcAvGe6c5fNYG4vuKu4kMxDW,,"45,282,617 XRP",,"0.045
%"
131,rUUn2LzyYDbMRcCKXyGh1m9yTd2CvJQHd7,,"45,111,055 XRP",,"0.045
%"
132,rJoFuF6WaDxs4U94uKB9j5xomPstwRG1zN,,"44,419,924 XRP",,"0.044
%"
133,razaE6HTEMUc9ogMYwmBT5GQk2b9qtbTnC,,"43,494,455 XRP",,"0.044
%"
134,rHU6iE3RcZTWvSAkQuFdYVFjRHWtsFNRk7,,"42,671,245 XRP",,"0.043
%"
135,rfzng8CpncsP2ZH2UhZPHpnE2wMoRhK9M4,,"42,170,189 XRP",,"0.042
%"
136,rf3QABZy2pexNqfbzyxXsTwY5iXRfNE1VP,,"41,902,599 XRP",,"0.042
%"
137,r9V6GYWRQNLgveGrn8JkCRTU9GA8Phzufy,,"40,616,559 XRP",,"0.041
%"
138,rGBd4yrHiDbKc2Yzo7fUFjWfFXmXXMeZqy,,"40,017,873 XRP",,"0.040
%"
